stage,ingredient,window_consumed,verdict
base universe,E0_I0024 screen frame 2021-2024,"2021 is HISTORY ONLY, never scored",in-partition
partition guard,refladder.assert_partition (value-based),seasons 2021-2024; dates 2022-05-08..2024-10-20,2025/2026 NEVER read
champion forecast,stored pred_point / fallback_level,the champion's own output; NOT refitted,as produced
routed-to estimator,prior-game sums,same-season games at a strictly earlier date position; prefix indexed at h not h+1,prior-only
routed-to estimator,half-life / mode / shrinkage,"D094's grid, selected 2022-2023, evaluated 2023-2024; IMPORTED not re-searched",prior-only by D094
routed-to estimator,shrink target prior_season,"the player's own previous season; calendar-disjoint, asserted",prior-only
R4_RICH_LOOKUP,feature columns,each a rung or a prior-only aggregate,prior-only
R4_RICH_LOOKUP,BLEND COEFFICIENTS (inference),OLS on seasons strictly earlier than the scored season,prior-only
C6 defence,A10_opp_defrtg,opponent's prior team-games (E0_I0016 construction),prior-only
C6 defence,USAGE TERCILE CUT (inference),quantile computed on strictly earlier seasons only,prior-only
C5/C6/C7,SLOPE COEFFICIENTS (inference),walk-forward OLS on seasons strictly earlier,prior-only
C5 teammate volume,P01_c04_prevgame,the team's PREVIOUS game's box; T01 tip-time NEVER used,prior-only
C7 home,venue flag,known at scheduling,prior-only
C2 availability,DURATION-BIN OFFSETS (inference),fitted on strictly earlier seasons; 2022 unscored,prior-only
nulls,clustered paired sign-flip,realised y and the two forecasts on the scored rows only,not a forecast input
SST,realised y of the full scored set,identical across every arm of every comparison,uses realised y of the scored set
