probe,passed,n_checked,detail
P1  ref_mean__y_ftm == prior expanding mean,True,300,mismatch_vs_PRIOR=0 ; mismatch_vs_CONTEMPORANEOUS=289 (must be >0)
P1b ref_mean__y_fta_given == prior COND mean,True,300,mismatch_vs_PRIOR=0 ; mismatch_vs_CONTEMPORANEOUS=157 (must be >0)
"P1c D-01 fix changed the DOMAIN, not the VALUES",True,9166,max abs diff on conditional rows=0.000e+00 ; domain change on conditional rows=+0.000000 ; defined on 0.9085 of ALL rows now vs 0.5033 before
P1d conditional-ref AVAILABILITY no longer encodes the response,True,18212,"corr(notna(ref_mean__y_fta_given), y_any_fta) = +0.1138 (was +1.0 by construction before the D-01 fix)"
P2  F01_prior_ftr == sum(fta)/sum(fga) prior,True,300,mismatch_vs_PRIOR=0 ; mismatch_vs_CONTEMPORANEOUS=280 (must be >0)
P3  F02_prior_fd_pm == sum(fd)/sum(min) prior,True,300,mismatch_vs_PRIOR=0 ; mismatch_vs_CONTEMPORANEOUS=299 (must be >0)
P4  F09_prior_starter_rate (TIP-TIME guard),True,300,mismatch_vs_PRIOR=0 ; mismatch_vs_CONTEMPORANEOUS=101 (must be >0)
P5  M01_opp_pf_pg == opp prior mean team pf,True,200,mismatch_vs_PRIOR=0 ; mismatch_vs_CONTEMPORANEOUS=196 (must be >0)
P5b M02_opp_allowed_fta_pg == opp prior mean,True,200,mismatch_vs_PRIOR=0 ; mismatch_vs_CONTEMPORANEOUS=200 (must be >0)
"P6  interaction centring is PRIOR-ONLY, not full-sample",True,17574,matches prior-expanding league mean=True ; differs from full-sample centring=True
