screen,file,line,code
E0_I0012_layer3_noncollinear,E0_I0012_layer3_noncollinear/f1_pair_history.py,70,"w[""pair_n""].quantile(.75), w[""pair_n""].max(),"
E0_I0012_layer3_noncollinear,E0_I0012_layer3_noncollinear/make_findings.py,219,"""construction"": ""For the opponent, DELTA = (max prior %s-per-100 over the roster pool as of """
E0_I0012_layer3_noncollinear,E0_I0012_layer3_noncollinear/make_findings.py,220,"""tonight) - (max prior %s-per-100 among players who actually appear """
E0_I0012_layer3_noncollinear,E0_I0012_layer3_noncollinear/make_findings.py,382,"""60 tests x 200 permutations (max 9.34); family-wise p = 0.0000."""
E0_I0012_layer3_noncollinear,E0_I0012_layer3_noncollinear/verify_partition.py,45,"bad.append((name, ""DATE BEYOND PARTITION in %s: %s"" % (c, dt.max())))"
E0_I0013_possession_volume,E0_I0013_possession_volume/make_findings.py,53,"""randomization null whose p95 is %.2f and whose max draw is %.2f). This is """
E0_I0013_possession_volume,E0_I0013_possession_volume/make_findings.py,60,"max(c[""placebo_naive_row_level""][""sd""], 1e-12)))"
E0_I0013_possession_volume,E0_I0013_possession_volume/make_findings.py,96,"max(c[""placebo_naive_row_level""][""sd""], 1e-12)),"
E0_I0013_possession_volume,E0_I0013_possession_volume/run_maxt_robust.py,204,"np.percentile(maxz, 99), maxz.max()))"
E0_I0013_possession_volume,E0_I0013_possession_volume/run_screen.py,168,"% (mp[""possessions""].max(),"
E0_I0015_points_skill_decomposition,E0_I0015_points_skill_decomposition/psd_base.py,96,"assert f[""gdate""].max() < pd.Timestamp(""2025-01-01"")"
E0_I0015_points_skill_decomposition,E0_I0015_points_skill_decomposition/s02_decompose_hybrid.py,117,"% float(np.max(np.abs(HYB[""A""][""H1_model_min_x_model_rate""] - f[""pts__pred_point""]))))"
E0_I0015_points_skill_decomposition,E0_I0015_points_skill_decomposition/s04_findings.py,159,"""points forecast: max|H1 - pts__pred_point| = 3.6e-15). """
E0_I0028_degeneracy_sweep,E0_I0028_degeneracy_sweep/dg_base.py,123,"historical.append((c, ""date"", ""PAST"", int(yr.min()), int(yr.max())))"
E0_I0028_degeneracy_sweep,E0_I0028_degeneracy_sweep/dg_base.py,140,"historical.append((c, ""season"", ""PAST"", float(u.min()), float(u.max())))"
E0_I0028_degeneracy_sweep,E0_I0028_degeneracy_sweep/dg_base.py,280,"assert c[""game_date""].max() < pd.Timestamp(""2025-01-01"")"
E0_I0028_degeneracy_sweep,E0_I0028_degeneracy_sweep/dg_base.py,292,"prev = r[""max""]"
E0_I0028_degeneracy_sweep,E0_I0028_degeneracy_sweep/s00_prereg.py,130,"""share at exactly max(pred_point) in cell"","
E0_I0028_degeneracy_sweep,E0_I0028_degeneracy_sweep/s01_load.py,105,"assert w[""game_date""].max() < pd.Timestamp(""2025-01-01"")"
E0_I0028_degeneracy_sweep,E0_I0028_degeneracy_sweep/s04_adjudicate.py,126,"max_pred=round(float(p.max()), 4),"
E0_I0028_degeneracy_sweep,E0_I0028_degeneracy_sweep/s05_findings.py,359,"""no_ceiling"": ""no pile-up at any upper bound on any target; max predictions """
E1_I0004_efficiency_transfer,E1_I0004_efficiency_transfer/et_base.py,135,"assert shots[""game_date""].dt.year.max() <= 2024, ""PARTITION VIOLATION (date)"""
E1_I0004_efficiency_transfer,E1_I0004_efficiency_transfer/s01_reproduce.py,118,"max_abs_delta=float(max(abs(s[""corr""] - p[1]), abs(s[""diff""] - p[2]),"
E1_I0004_efficiency_transfer_v2,E1_I0004_efficiency_transfer_v2/etv2_base.py,158,"assert shots[""game_date""].dt.year.max() <= max(seasons), ""PARTITION VIOLATION (date)"""
E1_I0004_efficiency_transfer_v2,E1_I0004_efficiency_transfer_v2/s01_reproduce.py,127,"max_abs_delta=float(max(abs(s[""corr""] - p[1]), abs(s[""diff""] - p[2]),"
E1_I0004_efficiency_transfer_v2,E1_I0004_efficiency_transfer_v2/s02_build.py,170,"chk = (f[""ppm_cand_SPEC_RA""] * f[""minutes__pred_point""] - f[""pts_cand_SPEC_RA""]).abs().max()"
E1_I0004_fga_forecast,E1_I0004_fga_forecast/build_forecasts.py,128,"assert shots[""game_date""].dt.year.max() <= 2024, ""PARTITION VIOLATION (date)"""
E1_I0004_fga_forecast,E1_I0004_fga_forecast/build_forecasts.py,341,dd = float((m[num] / m[den] - m[pct]).abs().max())
E1_I0004_fga_forecast,E1_I0004_fga_forecast/make_findings.py,153,"""sum_z_OS_z"": ""0 to machine precision (max|.| = 1.11e-16), so the candidate """
E1_I0004_fga_forecast,E1_I0004_fga_forecast/verify_partition.py,23,"dmax = pd.to_datetime(d[""game_date""]).max()"
E1_I0004_rim_finishing,E1_I0004_rim_finishing/build_and_measure.py,73,"assert shots[""game_date""].dt.year.max() <= 2024, ""PARTITION VIOLATION (date)"""
E1_I0004_rim_finishing,E1_I0004_rim_finishing/build_and_measure.py,243,"_d = (_v[""B1_split_alpha_rate""] - _v[""_check""]).abs().max()"
E1_I0004_rim_finishing,E1_I0004_rim_finishing/make_findings.py,221,"""max|diff| = 7.8e-16. Fully pregame-observable."","
E1_I0004_rim_finishing,E1_I0004_rim_finishing/verify_partition.py,8,"a subset of {2021,2022,2023,2024}; date columns print min/max."
E1_I0004_shot_selection,E1_I0004_shot_selection/analyze.py,281,family-wise p for a zone is frac{max-over-zones z(draw) >= that zone's real z}.
E1_I0004_shot_selection,E1_I0004_shot_selection/build_frames.py,95,"assert shots[""game_date""].dt.year.max() <= 2024, ""PARTITION VIOLATION (date)"""
E1_I0004_shot_selection,E1_I0004_shot_selection/robustness.py,66,"assert shots[""game_date""].dt.year.max() <= 2024, ""PARTITION VIOLATION"""
E1_I0008_height_mismatch,E1_I0008_height_mismatch/build_frame.py,41,"if gd.max() is not pd.NaT and gd.max() >= pd.Timestamp(""2025-01-01""):"
E1_I0008_height_mismatch,E1_I0008_height_mismatch/build_frame.py,42,"sys.exit(f""PARTITION VIOLATION (date) in {name}: max game_date {gd.max()}"")"
E1_I0008_height_mismatch,E1_I0008_height_mismatch/stage1_noise_floor.py,103,"max_abs = float((chk[""prof""] - chk[""opp_roster_mean_height""]).abs().max())"
E1_I0009_additive_pressure,E1_I0009_additive_pressure/analyze.py,201,"per_season_dr2_min=float(d.min()), per_season_dr2_max=float(d.max()),"
E1_I0009_r2_rerun,E1_I0009_r2_rerun/src/E0_analyze_original.py,84,spread = P_LOO.max() - P_LOO.min()
E1_I0009_r2_rerun,E1_I0009_r2_rerun/src/E0_analyze_original.py,105,spread2 = P_PRE.max() - P_PRE.min()
E1_I0009_r2_rerun,E1_I0009_r2_rerun/src/E0_analyze_original.py,163,"""max"": float(q[4]), ""real_dR2"": d2, ""frac_placebo_ge_real"": p_emp}"
E1_I0009_r2_rerun,E1_I0009_r2_rerun/src/E1_analyze_original.py,201,"per_season_dr2_min=float(d.min()), per_season_dr2_max=float(d.max()),"
E1_I0011_split_alpha,E1_I0011_split_alpha/verify_partition.py,12,date column has its min/max printed.
E1_I0013_tempo_redundancy,E1_I0013_tempo_redundancy/step3d_step4.py,271,"last_date=str(pd.to_datetime(tgs[""gdate""]).max().date()),"
E1_I0013_tempo_redundancy,E1_I0013_tempo_redundancy/verify_partition.py,57,"pd.to_numeric(df[c], errors=""coerce"").max()))"
E1_I0020_coldstart_tiering,E1_I0020_coldstart_tiering/ct_base.py,18,explicit max-date assertion.  2025/2026 rows are dropped at the FILTER-POINT in every loader
E1_I0020_coldstart_tiering,E1_I0020_coldstart_tiering/ct_base.py,141,"""the partition; K4)"" % (c, min(vs), max(vs)))"
E1_I0020_coldstart_tiering,E1_I0020_coldstart_tiering/ct_base.py,182,"assert f[""gdate""].max() < pd.Timestamp(""2025-01-01"")"
E1_I0020_coldstart_tiering,E1_I0020_coldstart_tiering/ct_base.py,203,"assert mp[""gdate""].max() < pd.Timestamp(""2025-01-01""), ""date bound violated"""
E1_I0020_coldstart_tiering,E1_I0020_coldstart_tiering/ct_base.py,346,"assert len(pool) and int(pool[""season""].max()) < int(season), \"
E1_I0020_coldstart_tiering,E1_I0020_coldstart_tiering/s01_reproduce.py,38,explicit max-date assertion) rather than on a manifest.  player_bios.csv is verified structurally
E1_I0020_coldstart_tiering,E1_I0020_coldstart_tiering/s01_reproduce.py,45,"assert d[""gdate""].max() < pd.Timestamp(""2025-01-01"")"
E1_I0020_coldstart_tiering,E1_I0020_coldstart_tiering/s02_taxonomy.py,122,"assert w[""gdate""].max() < pd.Timestamp(""2025-01-01"")"
E1_I0020_coldstart_tiering,E1_I0020_coldstart_tiering/s03_placeholders.py,136,"assert len(pool) and int(pool[""season""].max()) < S"
E1_I0020_coldstart_tiering,E1_I0020_coldstart_tiering/s06_findings.py,53,"""write, plus an explicit max-date assertion, plus the K4 adjudication described """
E1_I0020_coldstart_tiering,E1_I0020_coldstart_tiering/s06_findings.py,350,"""(sd 0.0010, max 0.0065) on points against the real tier's +0.0348.  """
E1_I0021_heterogeneity_diagnostic,E1_I0021_heterogeneity_diagnostic/hd_base.py,84,"assert f[""gdate""].max() < pd.Timestamp(""2025-01-01"")"
E1_I0021_heterogeneity_diagnostic,E1_I0021_heterogeneity_diagnostic/hd_base.py,109,"assert pd.to_datetime(f[""game_date""]).max() < pd.Timestamp(""2025-01-01"")"
E1_I0021_heterogeneity_diagnostic,E1_I0021_heterogeneity_diagnostic/hd_base.py,113,"pd.to_datetime(f[""game_date""]).max().date()))"
E1_I0021_heterogeneity_diagnostic,E1_I0021_heterogeneity_diagnostic/s02_pooling.py,80,"assert m[""game_date""].max() < pd.Timestamp(""2025-01-01"")"
E1_I0021_heterogeneity_diagnostic,E1_I0021_heterogeneity_diagnostic/s02_pooling.py,140,"P(""  partition: assert_partition PASS on VALUES; max game_date %s"""
E1_I0021_heterogeneity_diagnostic,E1_I0021_heterogeneity_diagnostic/s02_pooling.py,361,"P(""  floor %2d  max z=%+.3f (%s)  family-wise p=%.4f  null p95=%+.3f  -> %s   [%s]"""
E1_I0021_heterogeneity_diagnostic,E1_I0021_heterogeneity_diagnostic/s02_pooling.py,364,"P(""           CYCLIC-SHIFT null (preserves x's serial structure): max z=%+.3f  """
E1_I0021_heterogeneity_diagnostic,E1_I0021_heterogeneity_diagnostic/s02_pooling.py,447,"P(""  players matched=%d  max|beta_loop-beta_fast|=%.3e  max|se diff|=%.3e"""
E1_I0021_heterogeneity_diagnostic,E1_I0021_heterogeneity_diagnostic/s03d_decisive_structure.py,19,"max drawn from the same null, so the 6-way multiplicity is paid for."
E1_I0021_heterogeneity_diagnostic,E1_I0021_heterogeneity_diagnostic/s03d_decisive_structure.py,118,"P(""  family-wise null p95 of max|spearman| = %.3f"" % float(np.percentile(maxnull, 95)))"
E1_I0021_heterogeneity_diagnostic,E1_I0021_heterogeneity_diagnostic/s04_single_player.py,2,s04 -- STEP 4: THE SINGLE-PLAYER CEILING.  What is achievable with maximum data on one player?
E1_I0021_heterogeneity_diagnostic,E1_I0021_heterogeneity_diagnostic/s05_findings.py,300,"""warm-up. If a dedicated model on maximum data for one player """
E1_I0022_optimal_simple_estimator,E1_I0022_optimal_simple_estimator/ose_base.py,96,"prev_max = row[""max""]"
E1_I0022_optimal_simple_estimator,E1_I0022_optimal_simple_estimator/ose_base.py,112,"assert f[""gdate""].max() < pd.Timestamp(""2025-01-01"")"
E1_I0025_threshold_vs_refit,E1_I0025_threshold_vs_refit/c04_placebo_random_tiers.py,144,"P(""  NEGATIVE CONTROL: max noise dR2 = %+.6f  ->  %s"""
E1_I0025_threshold_vs_refit,E1_I0025_threshold_vs_refit/c06_findings.py,58,"p_rand = float(rnd[(rnd.response == rid) & (rnd.statistic == ""defence"")][""p_onesided""].max())"
E1_I0026_detection_floor,E1_I0026_detection_floor/scripts/s00_inspect.py,63,"p(""  DATERANGE %s: %s .. %s"" % (c, df[c].min(), df[c].max()))"
E1_I0026_detection_floor,E1_I0026_detection_floor/scripts/s10_assemble.py,123,"float(pc[""power_per_cell_alpha05""][pc.planted_dr2 == 0].max())],"
E1_I0027_reference_ladder,E1_I0027_reference_ladder/refladder.py,153,"prev = r[""max""]"
E1_I0030_home_advantage_accounting,E1_I0030_home_advantage_accounting/s01_guards_and_build.py,148,"maxdiff = float((j[""player_pts_sum""] - j[""team_pts""]).abs().max())"
E1_I0030_home_advantage_accounting,E1_I0030_home_advantage_accounting/s01_guards_and_build.py,156,"md = float((jm[""player_min_sum""] - jm[""team_min""]).abs().max())"
E1_I0031_rapm_as_prior,E1_I0031_rapm_as_prior/rp_base.py,272,"assert f[""gdate""].max() < pd.Timestamp(""2025-01-01"")"
E1_I0031_rapm_as_prior,E1_I0031_rapm_as_prior/s01_prereg.py,118,"assert mp[""gdate""].max() < pd.Timestamp(""2025-01-01"")"
