screen,scheme,file,line,code
E0_I0012_layer3_noncollinear,PLACEBO,E0_I0012_layer3_noncollinear/base.py,310,"""""""Pooled-only version of screen_increment, for placebo loops. Returns dR2_M / dR2_OxM."
E0_I0012_layer3_noncollinear,PLACEBO,E0_I0012_layer3_noncollinear/base.py,312,IMPORTANT (placebo discipline): callers must permute the ASSIGNMENT of an
E0_I0012_layer3_noncollinear,WITHIN_ENTITY,E0_I0012_layer3_noncollinear/f1_pair_history.py,105,"wp_ = B.screen_increment(w, ""M_pair"", ""F1_within_player"","
E0_I0012_layer3_noncollinear,PLACEBO,E0_I0012_layer3_noncollinear/f1_pair_history.py,132,"print(""  (e) PLACEBO (%d perms, value-assignment permutation within season):"" % N_PERM)"
E0_I0012_layer3_noncollinear,PLACEBO,E0_I0012_layer3_noncollinear/f1_pair_history.py,142,"print(""      *** DEGENERATE PLACEBO (sd exactly 0) -- this is the no-op signature. ***"")"
E0_I0012_layer3_noncollinear,PLACEBO,E0_I0012_layer3_noncollinear/f1_pair_history.py,143,"V.assign(target=T).to_csv(os.path.join(B.OUT, ""f1_placebo_draws_%s.csv"" % T), index=False)"
E0_I0012_layer3_noncollinear,WITHIN_ENTITY,E0_I0012_layer3_noncollinear/f1_pair_history.py,147,"""var_between_player"": bp, ""var_within_player"": wp,"
E0_I0012_layer3_noncollinear,ROW,E0_I0012_layer3_noncollinear/f1_pair_history.py,154,"""n_rows"": int(len(w)),"
E0_I0012_layer3_noncollinear,WITHIN_ENTITY,E0_I0012_layer3_noncollinear/f1_pair_history.py,155,"""effect_raw"": raw[""rows""], ""effect_within_player"": wp_[""rows""],"
E0_I0012_layer3_noncollinear,PLACEBO,E0_I0012_layer3_noncollinear/f1_pair_history.py,157,"""placebo"": plc,"
E0_I0012_layer3_noncollinear,PLACEBO,E0_I0012_layer3_noncollinear/f2_availability.py,232,"print(""  (e) PLACEBO (%d perms, value-assignment permutation within season):"" % N_PERM)"
E0_I0012_layer3_noncollinear,PLACEBO,E0_I0012_layer3_noncollinear/f2_availability.py,242,"print(""      *** DEGENERATE PLACEBO (sd exactly 0) -- no-op signature. ***"")"
E0_I0012_layer3_noncollinear,PLACEBO,E0_I0012_layer3_noncollinear/f2_availability.py,243,"V.assign(target=T).to_csv(os.path.join(B.OUT, ""f2_placebo_draws_%s.csv"" % T), index=False)"
E0_I0012_layer3_noncollinear,ROW,E0_I0012_layer3_noncollinear/f2_availability.py,252,"""n_rows"": int(len(w)), ""frac_rows_specialist_degraded"": float(w[""opp_spec_out""].mean()),"
E0_I0012_layer3_noncollinear,PLACEBO,E0_I0012_layer3_noncollinear/f2_availability.py,255,"""placebo"": plc,"
E0_I0012_layer3_noncollinear,PLACEBO,E0_I0012_layer3_noncollinear/f34_style_rest.py,151,"def placebo(w, mcol, rng, n=N_PERM, center_keys=(""season"",)):"
E0_I0012_layer3_noncollinear,PLACEBO,E0_I0012_layer3_noncollinear/f34_style_rest.py,178,"print(""      *** DEGENERATE PLACEBO (sd exactly 0) -- no-op signature. ***"")"
E0_I0012_layer3_noncollinear,PLACEBO,E0_I0012_layer3_noncollinear/f34_style_rest.py,276,"print(""  (e) PLACEBO (%d perms, value-assignment permutation within season):"" % N_PERM)"
E0_I0012_layer3_noncollinear,PLACEBO,E0_I0012_layer3_noncollinear/f34_style_rest.py,277,"plc, V = placebo(w, dim, rng)"
E0_I0012_layer3_noncollinear,PLACEBO,E0_I0012_layer3_noncollinear/f34_style_rest.py,279,"os.path.join(B.OUT, ""f3_placebo_draws_%s_%s.csv"" % (T, dim)), index=False)"
E0_I0012_layer3_noncollinear,ROW,E0_I0012_layer3_noncollinear/f34_style_rest.py,285,"""n_rows"": int(len(w)), ""effect"": eff[""rows""],"
E0_I0012_layer3_noncollinear,PLACEBO,E0_I0012_layer3_noncollinear/f34_style_rest.py,286,"""effect_matched_interaction"": mrows, ""placebo"": plc}"
E0_I0012_layer3_noncollinear,PLACEBO,E0_I0012_layer3_noncollinear/f34_style_rest.py,311,"print(""  (e) PLACEBO (%d perms):"" % N_PERM)"
E0_I0012_layer3_noncollinear,PLACEBO,E0_I0012_layer3_noncollinear/f34_style_rest.py,312,"plc, V = placebo(w, var, rng)"
