group_id,scope,channel,catalog_number,name,is_nominated_carrier,carrier,group_size,improvement,q_bh,bh_pass,practical,sign_consistent,corr_incremental_prediction,collapses
1,screen_finding,fg3,4.0,home_usage_shift,True,#4 home_usage_shift,1,0.002913,0.09895,True,False,True,,
2,screen_finding,ft,8.0,timezone_shift,True,#8 timezone_shift,1,0.002868,0.02475,True,False,True,,
3,screen_finding,ft,9.0,travel_km_since_last,True,#9 travel_km_since_last,1,0.002891,0.02475,True,False,True,,
4,screen_finding,ft,55.0,closing_lineup_membership,True,#55 closing_lineup_membership,1,0.003078,0.02475,True,False,False,,
5,screen_finding,np2,55.0,closing_lineup_membership,True,#55 closing_lineup_membership,1,0.00913,0.02475,True,True,True,,
6,screen_finding,np2,60.0,second_unit_anchor,True,#60 second_unit_anchor,1,0.006487,0.042429,True,True,False,,
7,screen_finding,fg3,61.0,shot_diet_xpts,True,#61 shot_diet_xpts,1,0.005622,0.05937,True,False,True,,
8,screen_finding,np2,62.0,zone_mix_drift,True,#62 zone_mix_drift,1,0.005328,0.05937,True,True,True,,
9,screen_finding,fg3,70.0,zone_conversion_vs_league,True,#70 zone_conversion_vs_league,1,0.006423,0.067473,True,False,True,,
10,screen_finding,paint,70.0,zone_conversion_vs_league,True,#70 zone_conversion_vs_league,1,0.004838,0.02475,True,False,False,,
11,screen_finding,fg3,87.0,prev_season_anchor,True,#87 prev_season_anchor,1,6e-06,0.884989,False,False,False,,
12,screen_finding,ft,87.0,prev_season_anchor,True,#87 prev_season_anchor,1,-0.000333,0.927819,False,False,False,,
13,screen_finding,np2,87.0,prev_season_anchor,True,#87 prev_season_anchor,1,5e-06,0.895856,False,False,False,,
14,screen_finding,paint,87.0,prev_season_anchor,True,#87 prev_season_anchor,1,-9e-06,0.884989,False,False,False,,
15,screen_finding,fg3,92.0,two_season_blend,True,#92 two_season_blend,1,0.016668,0.02475,True,True,True,,
16,screen_finding,ft,92.0,two_season_blend,True,#92 two_season_blend,1,-1e-06,0.884989,False,False,False,,
17,screen_finding,np2,92.0,two_season_blend,True,#92 two_season_blend,1,0.000451,0.806997,False,False,True,,
18,screen_finding,paint,92.0,two_season_blend,True,#92 two_season_blend,1,0.004158,0.106029,False,False,True,,
19,screen_finding,fg3,95.0,team_3pvolume_spillover,True,#95 team_3pvolume_spillover,1,0.00522,0.05937,True,False,False,,
demo-new_frozen_baseline-fg3,anchor_family_demonstration,fg3,,#87 prev_season_anchor vs #92 two_season_blend @w=0.9,False,"#87 prev_season_anchor (parsimonious: one term, no weight)",2,5e-06,,,,,-0.000789,False
demo-new_frozen_baseline-fg3,anchor_family_demonstration,fg3,,#87 prev_season_anchor vs #92 two_season_blend @w=0.5,False,"#87 prev_season_anchor (parsimonious: one term, no weight)",2,5e-06,,,,,0.006922,False
demo-new_frozen_baseline-fg3,anchor_family_demonstration,fg3,,#92 two_season_blend @w=0.9 vs #92 two_season_blend @w=0.5,False,"#87 prev_season_anchor (parsimonious: one term, no weight)",2,0.012693,,,,,0.99997,True
demo-old_ewma_only_baseline-fg3,anchor_family_demonstration,fg3,,#87 prev_season_anchor vs #92 two_season_blend @w=0.9,False,"#87 prev_season_anchor (parsimonious: one term, no weight)",2,0.032216,,,,,0.998291,True
demo-old_ewma_only_baseline-fg3,anchor_family_demonstration,fg3,,#87 prev_season_anchor vs #92 two_season_blend @w=0.5,False,"#87 prev_season_anchor (parsimonious: one term, no weight)",2,0.032216,,,,,0.932796,True
demo-old_ewma_only_baseline-fg3,anchor_family_demonstration,fg3,,#92 two_season_blend @w=0.9 vs #92 two_season_blend @w=0.5,False,"#87 prev_season_anchor (parsimonious: one term, no weight)",2,0.028926,,,,,0.952145,True
demo-new_frozen_baseline-ft,anchor_family_demonstration,ft,,#87 prev_season_anchor vs #92 two_season_blend @w=0.9,False,"#87 prev_season_anchor (parsimonious: one term, no weight)",2,-0.000385,,,,,0.030427,False
demo-new_frozen_baseline-ft,anchor_family_demonstration,ft,,#87 prev_season_anchor vs #92 two_season_blend @w=0.5,False,"#87 prev_season_anchor (parsimonious: one term, no weight)",2,-0.000385,,,,,0.999958,True
demo-new_frozen_baseline-ft,anchor_family_demonstration,ft,,#92 two_season_blend @w=0.9 vs #92 two_season_blend @w=0.5,False,"#87 prev_season_anchor (parsimonious: one term, no weight)",2,-1e-06,,,,,0.038848,False
demo-old_ewma_only_baseline-ft,anchor_family_demonstration,ft,,#87 prev_season_anchor vs #92 two_season_blend @w=0.9,False,"#87 prev_season_anchor (parsimonious: one term, no weight)",2,0.012998,,,,,0.998234,True
demo-old_ewma_only_baseline-ft,anchor_family_demonstration,ft,,#87 prev_season_anchor vs #92 two_season_blend @w=0.5,False,"#87 prev_season_anchor (parsimonious: one term, no weight)",2,0.012998,,,,,0.919399,True
demo-old_ewma_only_baseline-ft,anchor_family_demonstration,ft,,#92 two_season_blend @w=0.9 vs #92 two_season_blend @w=0.5,False,"#87 prev_season_anchor (parsimonious: one term, no weight)",2,0.011775,,,,,0.941074,True
demo-new_frozen_baseline-np2,anchor_family_demonstration,np2,,#87 prev_season_anchor vs #92 two_season_blend @w=0.9,False,"#87 prev_season_anchor (parsimonious: one term, no weight)",2,4e-06,,,,,-0.104747,False
demo-new_frozen_baseline-np2,anchor_family_demonstration,np2,,#87 prev_season_anchor vs #92 two_season_blend @w=0.5,False,"#87 prev_season_anchor (parsimonious: one term, no weight)",2,4e-06,,,,,-0.099903,False
demo-new_frozen_baseline-np2,anchor_family_demonstration,np2,,#92 two_season_blend @w=0.9 vs #92 two_season_blend @w=0.5,False,"#87 prev_season_anchor (parsimonious: one term, no weight)",2,0.000352,,,,,0.999988,True
demo-old_ewma_only_baseline-np2,anchor_family_demonstration,np2,,#87 prev_season_anchor vs #92 two_season_blend @w=0.9,False,"#87 prev_season_anchor (parsimonious: one term, no weight)",2,0.015169,,,,,0.997818,True
demo-old_ewma_only_baseline-np2,anchor_family_demonstration,np2,,#87 prev_season_anchor vs #92 two_season_blend @w=0.5,False,"#87 prev_season_anchor (parsimonious: one term, no weight)",2,0.015169,,,,,0.904045,True
demo-old_ewma_only_baseline-np2,anchor_family_demonstration,np2,,#92 two_season_blend @w=0.9 vs #92 two_season_blend @w=0.5,False,"#87 prev_season_anchor (parsimonious: one term, no weight)",2,0.014765,,,,,0.930186,True
demo-new_frozen_baseline-paint,anchor_family_demonstration,paint,,#87 prev_season_anchor vs #92 two_season_blend @w=0.9,False,"#87 prev_season_anchor (parsimonious: one term, no weight)",2,-6e-06,,,,,-0.10679,False
demo-new_frozen_baseline-paint,anchor_family_demonstration,paint,,#87 prev_season_anchor vs #92 two_season_blend @w=0.5,False,"#87 prev_season_anchor (parsimonious: one term, no weight)",2,-6e-06,,,,,-0.09899,False
demo-new_frozen_baseline-paint,anchor_family_demonstration,paint,,#92 two_season_blend @w=0.9 vs #92 two_season_blend @w=0.5,False,"#87 prev_season_anchor (parsimonious: one term, no weight)",2,0.004749,,,,,0.999967,True
demo-old_ewma_only_baseline-paint,anchor_family_demonstration,paint,,#87 prev_season_anchor vs #92 two_season_blend @w=0.9,False,"#87 prev_season_anchor (parsimonious: one term, no weight)",2,0.014358,,,,,0.998026,True
demo-old_ewma_only_baseline-paint,anchor_family_demonstration,paint,,#87 prev_season_anchor vs #92 two_season_blend @w=0.5,False,"#87 prev_season_anchor (parsimonious: one term, no weight)",2,0.014358,,,,,0.930283,True
demo-old_ewma_only_baseline-paint,anchor_family_demonstration,paint,,#92 two_season_blend @w=0.9 vs #92 two_season_blend @w=0.5,False,"#87 prev_season_anchor (parsimonious: one term, no weight)",2,0.013408,,,,,0.951451,True
