candidate,family,status,recommended_permutation_level,row_null_is_anticonservative,n_distinct_values
A01_dist_mean,A_own_profile,NO_COARSER_LEVEL_EXISTS__ROW_NULL_IS_ANTICONSERVATIVE,,True,
A02_share_lt5ft,A_own_profile,NO_COARSER_LEVEL_EXISTS__ROW_NULL_IS_ANTICONSERVATIVE,,True,
A03_share_restricted,A_own_profile,NO_COARSER_LEVEL_EXISTS__ROW_NULL_IS_ANTICONSERVATIVE,,True,
A04_share_paint,A_own_profile,NO_COARSER_LEVEL_EXISTS__ROW_NULL_IS_ANTICONSERVATIVE,,True,
A05_share_midrange,A_own_profile,NO_COARSER_LEVEL_EXISTS__ROW_NULL_IS_ANTICONSERVATIVE,,True,
A06_share_corner3,A_own_profile,NO_COARSER_LEVEL_EXISTS__ROW_NULL_IS_ANTICONSERVATIVE,,True,
A07_share_abovebreak3,A_own_profile,NO_COARSER_LEVEL_EXISTS__ROW_NULL_IS_ANTICONSERVATIVE,,True,
A08_share_3pa,A_own_profile,NO_COARSER_LEVEL_EXISTS__ROW_NULL_IS_ANTICONSERVATIVE,,True,
A09_share_catch_action,A_own_profile,NO_COARSER_LEVEL_EXISTS__ROW_NULL_IS_ANTICONSERVATIVE,,True,
A10_share_selfcreate_action,A_own_profile,NO_COARSER_LEVEL_EXISTS__ROW_NULL_IS_ANTICONSERVATIVE,,True,
A11_share_layup_action,A_own_profile,NO_COARSER_LEVEL_EXISTS__ROW_NULL_IS_ANTICONSERVATIVE,,True,
A12_share_plain_jumpshot,A_own_profile,NO_COARSER_LEVEL_EXISTS__ROW_NULL_IS_ANTICONSERVATIVE,,True,
B01_dist_t5,B_form_trend,NO_COARSER_LEVEL_EXISTS__ROW_NULL_IS_ANTICONSERVATIVE,,True,
B02_lt5ft_t5,B_form_trend,NO_COARSER_LEVEL_EXISTS__ROW_NULL_IS_ANTICONSERVATIVE,,True,
B03_restricted_t5,B_form_trend,NO_COARSER_LEVEL_EXISTS__ROW_NULL_IS_ANTICONSERVATIVE,,True,
B04_dist_trend,B_form_trend,NO_COARSER_LEVEL_EXISTS__ROW_NULL_IS_ANTICONSERVATIVE,,True,
B05_lt5ft_trend,B_form_trend,NO_COARSER_LEVEL_EXISTS__ROW_NULL_IS_ANTICONSERVATIVE,,True,
B06_3pa_trend,B_form_trend,NO_COARSER_LEVEL_EXISTS__ROW_NULL_IS_ANTICONSERVATIVE,,True,
C01_assisted_share,C_assisted,NO_COARSER_LEVEL_EXISTS__ROW_NULL_IS_ANTICONSERVATIVE,,True,
C02_assisted_share_3pt,C_assisted,NO_COARSER_LEVEL_EXISTS__ROW_NULL_IS_ANTICONSERVATIVE,,True,
C03_assisted_share_2pt,C_assisted,NO_COARSER_LEVEL_EXISTS__ROW_NULL_IS_ANTICONSERVATIVE,,True,
C04_assisted_share_t5,C_assisted,NO_COARSER_LEVEL_EXISTS__ROW_NULL_IS_ANTICONSERVATIVE,,True,
C05_assisted_trend,C_assisted,NO_COARSER_LEVEL_EXISTS__ROW_NULL_IS_ANTICONSERVATIVE,,True,
D01_xefg_zone,D_quality_index,NO_COARSER_LEVEL_EXISTS__ROW_NULL_IS_ANTICONSERVATIVE,,True,
D02_xpps_zone,D_quality_index,NO_COARSER_LEVEL_EXISTS__ROW_NULL_IS_ANTICONSERVATIVE,,True,
D03_xefg_action,D_quality_index,NO_COARSER_LEVEL_EXISTS__ROW_NULL_IS_ANTICONSERVATIVE,,True,
D04_xefg_minus_own,D_quality_index,NO_COARSER_LEVEL_EXISTS__ROW_NULL_IS_ANTICONSERVATIVE,,True,
E01_opp_dist_conceded,E_opp_conceded,COARSER_LEVEL_FOUND,team_game,False,
E02_opp_lt5ft_conceded,E_opp_conceded,COARSER_LEVEL_FOUND,team_game,False,
E03_opp_restricted_conceded,E_opp_conceded,COARSER_LEVEL_FOUND,team_game,False,
E04_opp_xefg_conceded,E_opp_conceded,COARSER_LEVEL_FOUND,team_game,False,
E05_opp_3pa_conceded,E_opp_conceded,COARSER_LEVEL_FOUND,team_game,False,
E06_opp_assisted_conceded,E_opp_conceded,COARSER_LEVEL_FOUND,team_game,False,
F01_dist_x_oppdist,F_interaction,NO_COARSER_LEVEL_EXISTS__ROW_NULL_IS_ANTICONSERVATIVE,,True,
F02_lt5ft_x_opplt5ft,F_interaction,NO_COARSER_LEVEL_EXISTS__ROW_NULL_IS_ANTICONSERVATIVE,,True,
F03_xefg_x_oppxefg,F_interaction,NO_COARSER_LEVEL_EXISTS__ROW_NULL_IS_ANTICONSERVATIVE,,True,
F04_3pa_x_opp3pa,F_interaction,NO_COARSER_LEVEL_EXISTS__ROW_NULL_IS_ANTICONSERVATIVE,,True,
G01_noise,G_control,NO_COARSER_LEVEL_EXISTS__ROW_NULL_IS_ANTICONSERVATIVE,,True,
G02_ref_echo,G_control,NO_COARSER_LEVEL_EXISTS__ROW_NULL_IS_ANTICONSERVATIVE,,True,
