screen,candidate,construction_file,construction_line,construction_expr,resolution_kind,auto_class,auto_components,candidate_class,components,component_levels,null_scheme,null_permutes_or_clusters_at,composite_verdict,verdict_reason,evidence,classification_source
E0_I0014_residual_heterogeneity,pl_games_prior,experiments\exploration\E0_I0014_residual_heterogeneity\rh_base.py,171,"d.groupby([""season"", ""player_id""], sort=False)[""_ap""].transform(",SUBSCRIPT_ASSIGN,ATOMIC,"[""_ap""]",ATOMIC,"[""_ap""]",[],,,NOT_APPLICABLE,,,EXPRESSION_PARSE
E0_I0014_residual_heterogeneity,pl_minutes_prior,experiments\exploration\E0_I0014_residual_heterogeneity\rh_base.py,173,"d.groupby([""season"", ""player_id""], sort=False)[""_apmin""].transform(",SUBSCRIPT_ASSIGN,ATOMIC,"[""_apmin""]",ATOMIC,"[""_apmin""]",[],,,NOT_APPLICABLE,,,EXPRESSION_PARSE
E0_I0014_residual_heterogeneity,pl_career_games_prior,experiments\exploration\E0_I0014_residual_heterogeneity\rh_base.py,176,"d.groupby([""player_id""], sort=False)[""_ap""].transform(",SUBSCRIPT_ASSIGN,ATOMIC,"[""_ap""]",ATOMIC,"[""_ap""]",[],,,NOT_APPLICABLE,,,EXPRESSION_PARSE
E0_I0014_residual_heterogeneity,pl_prior_season_games,experiments\exploration\E0_I0014_residual_heterogeneity\rh_base.py,178,"d[""pl_career_games_prior""] - d[""pl_games_prior""]",SUBSCRIPT_ASSIGN,COMPOSITE_DIFFERENCE,"[""pl_career_games_prior"", ""pl_games_prior""]",COMPOSITE_DIFFERENCE,"[""pl_career_games_prior"", ""pl_games_prior""]","[""player-season block, measured vsb=0.9298"", ""player-season block, measured vsb=0.1732""]","BETWEEN-block reassignment if vsb>0.5 else WITHIN-block shuffle, of the ASSEMBLED column",player-season or team-season,NOT_EXPOSED,"the null permutes the ASSEMBLED column, which moves every component simultaneously; all components are on the screen's own level record at or coarser than the permuting entity",permutation_nulls.npz + screen_results,EXPRESSION_PARSE + SCREEN_LEVEL_RECORD
E0_I0014_residual_heterogeneity,pl_is_rookie_window,experiments\exploration\E0_I0014_residual_heterogeneity\rh_base.py,179,"(d[""pl_prior_season_games""] <= 0).astype(float)",SUBSCRIPT_ASSIGN,ATOMIC,"[""pl_prior_season_games""]",ATOMIC,"[""pl_prior_season_games""]",[],,,NOT_APPLICABLE,,,EXPRESSION_PARSE
E0_I0014_residual_heterogeneity,pl_min_mean5,experiments\exploration\E0_I0014_residual_heterogeneity\rh_base.py,190,"gg.transform(lambda x: x.shift(1).rolling(5, min_periods=3).mean())",GENERATED[pl_%s_mean5],ATOMIC,[],ATOMIC,[],[],,,NOT_APPLICABLE,,,EXPRESSION_PARSE
E0_I0014_residual_heterogeneity,pl_fga_mean5,experiments\exploration\E0_I0014_residual_heterogeneity\rh_base.py,190,"gg.transform(lambda x: x.shift(1).rolling(5, min_periods=3).mean())",GENERATED[pl_%s_mean5],ATOMIC,[],ATOMIC,[],[],,,NOT_APPLICABLE,,,EXPRESSION_PARSE
E0_I0014_residual_heterogeneity,pl_pts_mean5,experiments\exploration\E0_I0014_residual_heterogeneity\rh_base.py,190,"gg.transform(lambda x: x.shift(1).rolling(5, min_periods=3).mean())",GENERATED[pl_%s_mean5],ATOMIC,[],ATOMIC,[],[],,,NOT_APPLICABLE,,,EXPRESSION_PARSE
E0_I0014_residual_heterogeneity,pl_usg_mean5,experiments\exploration\E0_I0014_residual_heterogeneity\rh_base.py,190,"gg.transform(lambda x: x.shift(1).rolling(5, min_periods=3).mean())",GENERATED[pl_%s_mean5],ATOMIC,[],ATOMIC,[],[],,,NOT_APPLICABLE,,,EXPRESSION_PARSE
E0_I0014_residual_heterogeneity,pl_start_frac5,experiments\exploration\E0_I0014_residual_heterogeneity\rh_base.py,202,"gsf.transform(lambda x: x.shift(1).rolling(5, min_periods=3).mean())",SUBSCRIPT_ASSIGN,ATOMIC,[],ATOMIC,[],[],,,NOT_APPLICABLE,,,EXPRESSION_PARSE
