target,tier,n_wf,cellA,cellB,mae_wf_global_cell,mae_wf_depth_adaptive,gain_from_adapting
pts,0,47,"{""mode"": ""equal"", ""memory_kind"": ""expanding"", ""memory_param"": ""0.0"", ""shrink_target"": ""none"", ""shrink_k"": ""0.0"", ""floor"": ""0.0""}","{""mode"": ""equal"", ""memory_kind"": ""expanding"", ""memory_param"": ""0.0"", ""shrink_target"": ""prior_season"", ""shrink_k"": ""0.5"", ""floor"": ""0.0""}",5.682825167487695,5.682825167487696,-8.881784197001252e-16
pts,1-2,610,"{""mode"": ""composite"", ""memory_kind"": ""ewma"", ""memory_param"": ""1.0"", ""shrink_target"": ""league"", ""shrink_k"": ""0.5"", ""floor"": ""0.0""}","{""mode"": ""composite"", ""memory_kind"": ""expanding"", ""memory_param"": ""0.0"", ""shrink_target"": ""prior_season"", ""shrink_k"": ""1.0"", ""floor"": ""0.0""}",4.573324873259771,4.593004188510488,-0.01967931525071709
pts,3-7,1474,"{""mode"": ""composite"", ""memory_kind"": ""ewma"", ""memory_param"": ""8.0"", ""shrink_target"": ""league"", ""shrink_k"": ""0.5"", ""floor"": ""0.0""}","{""mode"": ""composite"", ""memory_kind"": ""ewma"", ""memory_param"": ""5.0"", ""shrink_target"": ""prior_season"", ""shrink_k"": ""0.5"", ""floor"": ""0.0""}",3.878598902757237,3.878370160267171,0.00022874249006621383
pts,8-14,1912,"{""mode"": ""equal"", ""memory_kind"": ""sma"", ""memory_param"": ""10.0"", ""shrink_target"": ""none"", ""shrink_k"": ""0.0"", ""floor"": ""0.0""}","{""mode"": ""equal"", ""memory_kind"": ""ewma"", ""memory_param"": ""8.0"", ""shrink_target"": ""none"", ""shrink_k"": ""0.0"", ""floor"": ""0.0""}",4.048409523671656,4.046215786039455,0.002193737632200765
pts,15-24,2403,"{""mode"": ""equal"", ""memory_kind"": ""ewma"", ""memory_param"": ""5.0"", ""shrink_target"": ""none"", ""shrink_k"": ""0.0"", ""floor"": ""0.0""}","{""mode"": ""composite"", ""memory_kind"": ""ewma"", ""memory_param"": ""5.0"", ""shrink_target"": ""prior_season"", ""shrink_k"": ""0.5"", ""floor"": ""0.0""}",4.076923914849031,4.079914355396263,-0.002990440547232076
pts,25+,3071,"{""mode"": ""equal"", ""memory_kind"": ""ewma"", ""memory_param"": ""5.0"", ""shrink_target"": ""none"", ""shrink_k"": ""0.0"", ""floor"": ""0.0""}","{""mode"": ""equal"", ""memory_kind"": ""ewma"", ""memory_param"": ""8.0"", ""shrink_target"": ""none"", ""shrink_k"": ""0.0"", ""floor"": ""0.0""}",4.285667740898921,4.273081983779053,0.012585757119867758
minutes,0,47,"{""mode"": ""equal"", ""memory_kind"": ""expanding"", ""memory_param"": ""0.0"", ""shrink_target"": ""none"", ""shrink_k"": ""0.0"", ""floor"": ""0.0""}","{""mode"": ""equal"", ""memory_kind"": ""expanding"", ""memory_param"": ""0.0"", ""shrink_target"": ""role"", ""shrink_k"": ""0.5"", ""floor"": ""0.0""}",12.022355133709192,10.221090071309938,1.8012650623992545
minutes,1-2,610,"{""mode"": ""equal"", ""memory_kind"": ""ewma"", ""memory_param"": ""2.0"", ""shrink_target"": ""league"", ""shrink_k"": ""0.5"", ""floor"": ""0.0""}","{""mode"": ""equal"", ""memory_kind"": ""ewma"", ""memory_param"": ""12.0"", ""shrink_target"": ""role"", ""shrink_k"": ""0.5"", ""floor"": ""0.0""}",7.037971586838761,6.982490815686493,0.05548077115226846
minutes,3-7,1474,"{""mode"": ""equal"", ""memory_kind"": ""ewma"", ""memory_param"": ""2.0"", ""shrink_target"": ""none"", ""shrink_k"": ""0.0"", ""floor"": ""0.0""}","{""mode"": ""equal"", ""memory_kind"": ""ewma"", ""memory_param"": ""1.0"", ""shrink_target"": ""none"", ""shrink_k"": ""0.0"", ""floor"": ""0.0""}",4.602926758100417,4.617874066866096,-0.014947308765679068
minutes,8-14,1912,"{""mode"": ""equal"", ""memory_kind"": ""ewma"", ""memory_param"": ""3.0"", ""shrink_target"": ""none"", ""shrink_k"": ""0.0"", ""floor"": ""0.0""}","{""mode"": ""equal"", ""memory_kind"": ""ewma"", ""memory_param"": ""2.0"", ""shrink_target"": ""none"", ""shrink_k"": ""0.0"", ""floor"": ""0.0""}",4.702637623094993,4.708151464321313,-0.00551384122632026
