artifact,producer,fit_window,fit_window_source,consumer,consumer_experiment_id,scored_seasons,scored_rows,intersects,verdict,reasoning
data/rapm/rapm_v0.csv (net_100 player values),build_rapm.py,"seasons 2021-2024 (static, single fit)","build_rapm.py:74 TRAIN_SEASONS = {2021,2022,2023,2024}",oracle_bracket.py,oracle_availability_bracket_v2,2024;2025;2026,"627 games (2024=207, 2025=252, 2026=168)",YES (2024),INVALID-PENDING-RECOMPUTATION (2024 slice; pooled headline),207 of 627 scored games sit inside the value table's fit window; those players' values were estimated partly from the possessions of the games being predicted. The published pooled n=627 numbers (v1 10.1753 / v2 10.1555 / v3 10.1170 / v4 10.1072) are all computed over the contaminated union and must be recomputed.
data/rapm/rapm_v0.csv (net_100 player values),build_rapm.py,"seasons 2021-2024 (static, single fit)","build_rapm.py:74 TRAIN_SEASONS = {2021,2022,2023,2024}",oracle_bracket.py (2025-2026 slice only),oracle_availability_bracket_v2,2025;2026,420 games,NO,VALID,Latest source observation (2024 season end) strictly precedes every 2025/2026 game. Nothing in this experiment is FITTED on rapm values - LINEUP_SCALE=4.0 is fixed a priori and the center str_margin_cal comes from a 2021-2023 fit - so no parameter carries contamination into the clean slice. The erratum's clean-season read stands. Caveat: the replacement value (p25 of net_100) is a scalar summary of the contaminated table and is applied on clean rows too; effect is second-order.
data/rapm/rapm_v0.csv (net_100 player values),build_rapm.py,"seasons 2021-2024 (static, single fit)","build_rapm.py:74 TRAIN_SEASONS = {2021,2022,2023,2024}",joint_differential.py,joint_differential_v1,2024;2025;2026,"673 games (2024=229, 2025=276, 2026=168)",YES (test 2024 AND all of train 2021-2023),"INVALID-PENDING-RECOMPUTATION (entire run, INCLUDING the clean-season read)","ESCALATION beyond the erratum. Two separate intersections: (1) 229 test games in 2024 sit inside the fit window; (2) ALL THREE TRAIN SEASONS 2021-2023 also sit inside it (the script records this itself: audit_results.json train_seasons_inside_fit_window=[2021,2022,2023]). Every fitted parameter of the full challenger - the four per-channel ridge lambdas (inner folds inside 2021-2023), the four ridge coefficient vectors (610 train games), and the margin calibration a=0.1153 b=0.9314 (same 610 games) - was estimated against d_rapm values that carry contemporaneous information about those very train games. Applying those parameters to 2025/2026 does not launder them. The 'RAPM-clean seasons' numbers (+0.0535 challenger, +0.0495 RAPM increment) are therefore NOT clean: the feature values are clean, the coefficients multiplying them are not."
data/rapm/rapm_v0.csv (net_100 player values),build_rapm.py,"seasons 2021-2024 (static, single fit)","build_rapm.py:74 TRAIN_SEASONS = {2021,2022,2023,2024}","joint_differential.py ABLATION arm (FEATSETS_ABL, no d_rapm)",joint_differential_v1,2024;2025;2026,673 games,NO,VALID,"The ablation deliberately excludes d_rapm, so neither its features nor its fitted coefficients touch rapm_v0. Its finding - the differential REFRAMING carries nothing (-0.0175 pooled, +0.0040 clean) - survives this audit intact and is the only part of joint_differential_v1 that does."
data/rapm/rapm_v0.csv (net_100 player values) -> experiments/oracle_bracket/game_level_margins.csv,build_rapm.py -> oracle_bracket.py,"seasons 2021-2024 (static, single fit)","build_rapm.py:74 TRAIN_SEASONS = {2021,2022,2023,2024}",clv_transfer.py (old-era tables),clv_transfer_v1,2024 and pre-2025-07-05 2025,subset of the 627-game oracle universe,"YES (transitive, via the four oracle margin variants)",INVALID-PENDING-RECOMPUTATION (old-era rows only),"clv_transfer consumes all four committed oracle margin variants (clv_transfer.py:78 ORACLE=experiments/oracle_bracket/game_level_margins.csv) and builds its transfer curve on the MAE spacing between them. On old-era games that spacing is contamination-driven, so every old-era transfer/breakeven row inherits it."
data/rapm/rapm_v0.csv (net_100 player values) -> oracle margins,build_rapm.py -> oracle_bracket.py,"seasons 2021-2024 (static, single fit)","build_rapm.py:74 TRAIN_SEASONS = {2021,2022,2023,2024}","clv_transfer.py (extension era, the REGISTERED primary)",clv_transfer_v1,2025 (from 2025-07-05);2026,286 games,NO,VALID,"The registered primary comparison is extension-era T-24h, 2025-07-05 onward - entirely outside the RAPM fit window, and nothing in clv_transfer is fitted."
experiments/rapm_multiseason/rapm_v1_*_train2021_26.csv,build_rapm_v1.py,seasons 2021-2026 (EVERY season in the repo),"build_rapm_v1.py:877,897 write_candidate(..._train2021_26)","(none yet - candidate artifacts, unadopted)",rapm_multiseason (unregistered exploration),n/a,n/a,"WOULD, on every season",NEEDS-REVIEW / DO-NOT-ADOPT,"These candidate tables are fit through 2026. Any consumer scoring ANY season would intersect on every row. They are currently unconsumed (verified by grep: only build_rapm_v1.py references them), which is the only reason they are not already a second incident. They must never be adopted without a per-season walk-forward variant; the *_train2021_24 siblings carry the identical defect for 2021-2024."
rapm_v0-derived numbers quoted in prose,various,"seasons 2021-2024 (static, single fit)","build_rapm.py:74 TRAIN_SEASONS = {2021,2022,2023,2024}",project_docs/ASSUMPTION_AUDIT_2026-07-30.md; project_docs/HANDOFF_2026-07-30.md; experiments/oracle_bracket/REPORT.md; experiments/joint_differential/REPORT.md,documentation,2024;2025;2026,n/a,YES (transitive),NEEDS-REVIEW,"These documents quote the pooled contaminated figures and, in the case of joint_differential/REPORT.md, present the clean-season read as the honest headline - which this audit finds is itself not clean. Prose must be amended when the recomputation lands."
data/zone_maps/shrinkage_priors.csv (30 empirical-Bayes K constants),"build_zone_maps.py (estimate_k_table, beta-binomial method-of-moments)","seasons 2021-2026, full sample (max shot date 2026-07-29)",matchup_overlay.py:26-30 docstring; build_zone_maps.py:579 ktab=estimate_k_table(df) over all shots,"w2_integration.py (mo.load_k_table() at line 673, passed into every maps_before call)",w2_zone_channel_integration_v1,2024;2025;2026,673 games,YES (the fit window contains EVERY scored season),NEEDS-REVIEW,"maps_before() genuinely restricts by cutoff - VERIFIED: line 251 mask = game_date < cutoff, and every RATE (league conversion, league shares, team offense/defense) is recomputed from that pre-cutoff slice, so the rates are walk-forward clean. The SHRINKAGE CONSTANTS are not: w2_integration.py:673 loads the stored full-sample table and passes it unchanged. matchup_overlay.py:29-30 explicitly anticipates this - 'a strict walk-forward experiment may re-estimate them on train years only and pass its own table via k_table=' - and w2_integration did not. Severity is low (30 variance-ratio scalars from ~1000 cells each, with 2024-2026 contributing roughly half the cells) and the registered verdict was FAIL, which contamination would only have made harder to reach - but the run is not walk-forward clean and cannot be described as such."
"data/zone_maps/{player_zone_offense,team_zone_offense,team_zone_defense,league_zone_averages}.csv",build_zone_maps.py,"seasons 2021-2026, full sample (max shot date 2026-07-29)",matchup_overlay.py:26-30 docstring; build_zone_maps.py:579 ktab=estimate_k_table(df) over all shots,(none - descriptive artifacts only; verified by grep across all *.py),n/a,n/a,n/a,"WOULD, on every season",NEEDS-REVIEW / DO-NOT-CONSUME,"Full-sample season-stratified maps with _shrunk columns. No scoring code reads them (w2_integration rebuilds from shots_enriched via maps_before instead). Any future consumer must use maps_before with a train-only k_table, not these files."
